Info: Vdir: 0.000000:0.000000:0.000000, fa:0, fa2:0.000000:0.000000:0.000000
Info: Vdir: 0.997216:-0.052731:-0.052731, fa:6.390109, fa2:6.372317:-0.336959:-0.336959
Info: Vdir: 0.997127:-0.053561:-0.053561, fa:6.4530144, fa2:6.434476:-0.345631:-0.345631
Info: Vdir: 0.997037:-0.054392:-0.054392, fa:6.515133, fa2:6.495830:-0.354370:-0.354370
Info: Vdir: 0.996946:-0.055223:-0.055223, fa:6.5764637, fa2:6.556379:-0.363174:-0.363174
Info: Vdir: 0.996853:-0.056055:-0.056055, fa:6.637005, fa2:6.616118:-0.372039:-0.372039
Info: Vdir: 0.996759:-0.056888:-0.056888, fa:6.6967597, fa2:6.675053:-0.380964:-0.380964
Info: Vdir: 0.996663:-0.057721:-0.057721, fa:6.7557254, fa2:6.733181:-0.389944:-0.389944
Info: Vdir: 0.996566:-0.058554:-0.058554, fa:6.813904, fa2:6.790503:-0.398979:-0.398979
Info: Vdir: 0.996467:-0.059387:-0.059387, fa:6.871297, fa2:6.847021:-0.408064:-0.408064
Info: Vdir: 0.996367:-0.060220:-0.060220, fa:6.927905, fa2:6.902736:-0.417197:-0.417197
Info: Vdir: 0.996266:-0.061053:-0.061053, fa:6.9837317, fa2:6.957652:-0.426377:-0.426377
Info: Vdir: 0.996163:-0.061886:-0.061886, fa:7.03878, fa2:7.011772:-0.435599:-0.435599
Info: Vdir: 0.996059:-0.062718:-0.062718, fa:7.0930514, fa2:7.065096:-0.444862:-0.444862
Info: Vdir: 0.995953:-0.063550:-0.063550, fa:7.14655, fa2:7.117630:-0.454163:-0.454163
Info: Vdir: 0.995847:-0.064381:-0.064381, fa:7.19928, fa2:7.169378:-0.463500:-0.463500
Info: Vdir: 0.995738:-0.065212:-0.065212, fa:7.251245, fa2:7.220344:-0.472869:-0.472869
Info: Vdir: 0.995629:-0.066042:-0.066042, fa:7.3024487, fa2:7.270529:-0.482269:-0.482269
Info: Vdir: 0.995518:-0.066871:-0.066871, fa:7.3528967, fa2:7.319943:-0.491697:-0.491697
Info: Vdir: 0.995406:-0.067699:-0.067699, fa:7.402592, fa2:7.368587:-0.501151:-0.501151
Info: Vdir: 0.995293:-0.068526:-0.068526, fa:7.4515424, fa2:7.416470:-0.510628:-0.510628
Info: Vdir: 0.995179:-0.069352:-0.069352, fa:7.4997516, fa2:7.463593:-0.520126:-0.520126
Info: Vdir: 0.995063:-0.070177:-0.070177, fa:7.5472264, fa2:7.509966:-0.529643:-0.529643
Info: Vdir: 0.994946:-0.071001:-0.071001, fa:7.593972, fa2:7.555594:-0.539176:-0.539176
Info: Vdir: 0.994828:-0.071822:-0.071822, fa:7.6399946, fa2:7.600482:-0.548723:-0.548723
Info: Vdir: 0.994709:-0.072643:-0.072643, fa:7.685301, fa2:7.644639:-0.558283:-0.558283
Info: Vdir: 0.994589:-0.073462:-0.073462, fa:7.729896, fa2:7.688068:-0.567852:-0.567852
Info: Vdir: 0.994467:-0.074279:-0.074279, fa:7.7737885, fa2:7.730779:-0.577429:-0.577429
Info: Vdir: 0.994345:-0.075094:-0.075094, fa:7.8169827, fa2:7.772777:-0.587012:-0.587012
Info: Vdir: 0.994221:-0.075908:-0.075908, fa:7.8594885, fa2:7.814072:-0.596598:-0.596598
Info: Vdir: 0.994097:-0.076720:-0.076720, fa:7.901311, fa2:7.854668:-0.606186:-0.606186
Info: Vdir: 0.993971:-0.077529:-0.077529, fa:7.9424567, fa2:7.894573:-0.615774:-0.615774
Info: Vdir: 0.993845:-0.078337:-0.078337, fa:7.9829335, fa2:7.933795:-0.625359:-0.625359
Info: Vdir: 0.993717:-0.079142:-0.079142, fa:8.022749, fa2:7.972340:-0.634940:-0.634940
Info: Vdir: 0.993588:-0.079946:-0.079946, fa:8.061911, fa2:8.010220:-0.644516:-0.644516
Info: Vdir: 0.993459:-0.080747:-0.080747, fa:8.100428, fa2:8.047440:-0.654084:-0.654084
Info: Vdir: 0.993328:-0.081546:-0.081546, fa:8.138305, fa2:8.084007:-0.663642:-0.663642
Info: Vdir: 0.993197:-0.082342:-0.082342, fa:8.175551, fa2:8.119932:-0.673190:-0.673190
Info: Vdir: 0.993065:-0.083136:-0.083136, fa:8.212174, fa2:8.155219:-0.682724:-0.682724
Info: Vdir: 0.992931:-0.083927:-0.083927, fa:8.24818, fa2:8.189877:-0.692244:-0.692244
Info: Vdir: 0.992797:-0.084716:-0.084716, fa:8.283579, fa2:8.223915:-0.701748:-0.701748
Info: Vdir: 0.992663:-0.085502:-0.085502, fa:8.3183775, fa2:8.257342:-0.711235:-0.711235
Info: Vdir: 0.992527:-0.086285:-0.086285, fa:8.352584, fa2:8.290166:-0.720702:-0.720702
Info: Vdir: 0.992391:-0.087066:-0.087066, fa:8.386206, fa2:8.322393:-0.730150:-0.730150
Info: Vdir: 0.992254:-0.087843:-0.087843, fa:8.41925, fa2:8.354032:-0.739575:-0.739575
Info: Vdir: 0.992116:-0.088618:-0.088618, fa:8.451726, fa2:8.385091:-0.748977:-0.748977
Info: Vdir: 0.991977:-0.089390:-0.089390, fa:8.483642, fa2:8.415580:-0.758354:-0.758354
Info: Vdir: 0.991838:-0.090159:-0.090159, fa:8.515002, fa2:8.445504:-0.767706:-0.767706
Info: Vdir: 0.991698:-0.090925:-0.090925, fa:8.545818, fa2:8.474874:-0.777030:-0.777030
Info: Vdir: 0.991558:-0.091688:-0.091688, fa:8.576096, fa2:8.503694:-0.786326:-0.786326
Info: Vdir: 0.991417:-0.092448:-0.092448, fa:8.605843, fa2:8.531976:-0.795593:-0.795593
Info: Vdir: 0.991275:-0.093205:-0.093205, fa:8.635068, fa2:8.559726:-0.804829:-0.804829
Info: Vdir: 0.991133:-0.093958:-0.093958, fa:8.663778, fa2:8.586953:-0.814033:-0.814033
Info: Vdir: 0.990990:-0.094708:-0.094708, fa:8.691981, fa2:8.613666:-0.823204:-0.823204
Info: Vdir: 0.990846:-0.095455:-0.095455, fa:8.719685, fa2:8.639868:-0.832342:-0.832342
Info: Vdir: 0.990703:-0.096199:-0.096199, fa:8.746895, fa2:8.665572:-0.841444:-0.841444
Info: Vdir: 0.990558:-0.096940:-0.096940, fa:8.7736225, fa2:8.690784:-0.850511:-0.850511
Info: Vdir: 0.990413:-0.097677:-0.097677, fa:8.799871, fa2:8.715511:-0.859541:-0.859541
Info: Vdir: 0.990268:-0.098410:-0.098410, fa:8.825651, fa2:8.739762:-0.868533:-0.868533
Info: Vdir: 0.990122:-0.099140:-0.099140, fa:8.850968, fa2:8.763543:-0.877487:-0.877487
Info: Vdir: 0.989976:-0.099867:-0.099867, fa:8.87583, fa2:8.786862:-0.886401:-0.886401
Info: Vdir: 0.989830:-0.100590:-0.100590, fa:8.900244, fa2:8.809729:-0.895276:-0.895276
Info: Vdir: 0.989683:-0.101310:-0.101310, fa:8.924216, fa2:8.832147:-0.904109:-0.904109
Info: Vdir: 0.989536:-0.102026:-0.102026, fa:8.947755, fa2:8.854126:-0.912901:-0.912901
Info: Vdir: 0.989389:-0.102738:-0.102738, fa:8.970867, fa2:8.875674:-0.921650:-0.921650
Info: Vdir: 0.989241:-0.103447:-0.103447, fa:8.993561, fa2:8.896798:-0.930357:-0.930357
Info: Vdir: 0.989093:-0.104152:-0.104152, fa:9.015841, fa2:8.917503:-0.939020:-0.939020
Info: Vdir: 0.988945:-0.104854:-0.104854, fa:9.037714, fa2:8.937799:-0.947639:-0.947639
Info: Vdir: 0.988796:-0.105552:-0.105552, fa:9.05919, fa2:8.957692:-0.956213:-0.956213
Info: Vdir: 0.988647:-0.106246:-0.106246, fa:9.080271, fa2:8.977186:-0.964742:-0.964742
Info: Vdir: 0.988499:-0.106936:-0.106936, fa:9.100965, fa2:8.996290:-0.973224:-0.973224
Info: Vdir: 0.988350:-0.107623:-0.107623, fa:9.121281, fa2:9.015014:-0.981661:-0.981661
Info: Vdir: 0.988200:-0.108306:-0.108306, fa:9.141221, fa2:9.033357:-0.990050:-0.990050
Info: Vdir: 0.988051:-0.108985:-0.108985, fa:9.160796, fa2:9.051332:-0.998392:-0.998392
Info: Vdir: 0.987901:-0.109661:-0.109661, fa:9.180009, fa2:9.068944:-1.006687:-1.006687
Info: Vdir: 0.987752:-0.110332:-0.110332, fa:9.198869, fa2:9.086200:-1.014933:-1.014933
Info: Vdir: 0.987602:-0.111000:-0.111000, fa:9.217379, fa2:9.103104:-1.023131:-1.023131
Info: Vdir: 0.987453:-0.111664:-0.111664, fa:9.235547, fa2:9.119664:-1.031280:-1.031280
Info: Vdir: 0.987303:-0.112324:-0.112324, fa:9.253378, fa2:9.135884:-1.039379:-1.039379
Info: Vdir: 0.987153:-0.112981:-0.112981, fa:9.270879, fa2:9.151775:-1.047430:-1.047430
Info: Vdir: 0.987003:-0.113633:-0.113633, fa:9.288054, fa2:9.167339:-1.055430:-1.055430
Info: Vdir: 0.986853:-0.114282:-0.114282, fa:9.304912, fa2:9.182583:-1.063380:-1.063380
Info: Vdir: 0.986704:-0.114926:-0.114926, fa:9.321454, fa2:9.197513:-1.071280:-1.071280
Info: Vdir: 0.986554:-0.115567:-0.115567, fa:9.337688, fa2:9.212133:-1.079130:-1.079130
Info: Vdir: 0.986404:-0.116204:-0.116204, fa:9.353621, fa2:9.226452:-1.086928:-1.086928
Info: Vdir: 0.986255:-0.116837:-0.116837, fa:9.369255, fa2:9.240473:-1.094676:-1.094676
Info: Vdir: 0.986105:-0.117466:-0.117466, fa:9.384598, fa2:9.254202:-1.102373:-1.102373
Info: Vdir: 0.985956:-0.118091:-0.118091, fa:9.3996525, fa2:9.267643:-1.110018:-1.110018
Info: Vdir: 0.985807:-0.118713:-0.118713, fa:9.414427, fa2:9.280805:-1.117612:-1.117612
Info: Vdir: 0.985658:-0.119330:-0.119330, fa:9.4289255, fa2:9.293692:-1.125154:-1.125154
Info: Vdir: 0.985509:-0.119944:-0.119944, fa:9.443151, fa2:9.306307:-1.132645:-1.132645
Info: Vdir: 0.985360:-0.120553:-0.120553, fa:9.457111, fa2:9.318659:-1.140084:-1.140084
Info: Vdir: 0.985211:-0.121159:-0.121159, fa:9.470808, fa2:9.330748:-1.147472:-1.147472
Info: Vdir: 0.985063:-0.121761:-0.121761, fa:9.484249, fa2:9.342582:-1.154807:-1.154807
Info: Vdir: 0.984915:-0.122358:-0.122358, fa:9.4974375, fa2:9.354167:-1.162091:-1.162091
Info: Vdir: 0.984767:-0.122952:-0.122952, fa:9.510377, fa2:9.365504:-1.169322:-1.169322
Info: Vdir: 0.984619:-0.123542:-0.123542, fa:9.523074, fa2:9.376600:-1.176502:-1.176502
Info: Vdir: 0.984472:-0.124128:-0.124128, fa:9.535532, fa2:9.387462:-1.183630:-1.183630
Info: Vdir: 0.984325:-0.124710:-0.124710, fa:9.547756, fa2:9.398091:-1.190705:-1.190705
Info: Vdir: 0.984178:-0.125289:-0.125289, fa:9.55975, fa2:9.408492:-1.197729:-1.197729
