Info: 0.00:274.00, v=14.96, t=51.20
Info: 0.00:276.42, v=12.10, t=51.40
Info: 0.00:278.33, v=9.55, t=51.60
Info: 0.00:279.78, v=7.22, t=51.80
Info: 0.00:280.78, v=5.04, t=52.00
Info: 0.00:281.38, v=2.98, t=52.20
Info: 0.00:281.58, v=0.98, t=52.40
Info: 0.00:281.38, v=0.98, t=52.60
Info: 0.00:280.79, v=2.94, t=52.80
Info: 0.00:279.82, v=4.87, t=53.00
Info: 0.00:278.47, v=6.74, t=53.20
Info: 0.00:276.77, v=8.51, t=53.40
Info: 0.00:274.73, v=10.18, t=53.60
Info: 0.00:272.39, v=11.73, t=53.80
Info: 0.00:269.76, v=13.13, t=54.00
Info: 0.00:266.88, v=14.40, t=54.20
Info: 0.00:263.77, v=15.53, t=54.40
Info: 0.00:260.47, v=16.52, t=54.60
Info: 0.00:257.00, v=17.38, t=54.80
Info: 0.00:253.37, v=18.12, t=55.00
Info: 0.00:249.62, v=18.76, t=55.20
Info: 0.00:245.76, v=19.30, t=55.40
Info: 0.00:241.81, v=19.76, t=55.60
Info: 0.00:237.78, v=20.15, t=55.80
Info: 0.00:233.68, v=20.47, t=56.00
Info: 0.00:229.54, v=20.74, t=56.20
Info: 0.00:225.34, v=20.97, t=56.40
Info: 0.00:221.11, v=21.16, t=56.60
Info: 0.00:216.85, v=21.31, t=56.80
Info: 0.00:212.56, v=21.44, t=57.00
Info: 0.00:208.25, v=21.55, t=57.20
Info: 0.00:203.92, v=21.64, t=57.40
Info: 0.00:199.58, v=21.71, t=57.60
Info: 0.00:195.22, v=21.77, t=57.80
Info: 0.00:190.86, v=21.82, t=58.00
Info: 0.00:186.49, v=21.86, t=58.20
Info: 0.00:182.11, v=21.90, t=58.40
Info: 0.00:177.72, v=21.92, t=58.60
Info: 0.00:173.33, v=21.95, t=58.80
Info: 0.00:168.94, v=21.97, t=59.00
Info: 0.00:164.55, v=21.98, t=59.20
Info: 0.00:160.15, v=21.99, t=59.40
Info: 0.00:155.75, v=22.00, t=59.60
Info: 0.00:151.34, v=22.01, t=59.80
Info: 0.00:146.94, v=22.02, t=60.00
Info: 0.00:142.53, v=22.03, t=60.20
Info: 0.00:138.13, v=22.03, t=60.40
Info: 0.00:133.72, v=22.03, t=60.60
Info: 0.00:129.31, v=22.04, t=60.80
Info: 0.00:124.91, v=22.04, t=61.00
Info: 0.00:120.50, v=22.04, t=61.20
Info: 0.00:116.09, v=22.04, t=61.40
Info: 0.00:111.68, v=22.05, t=61.60
Info: 0.00:107.27, v=22.05, t=61.80
Info: 0.00:102.86, v=22.05, t=62.00
Info: 0.00:98.45, v=22.05, t=62.20
Info: 0.00:94.04, v=22.05, t=62.40
Info: 0.00:89.63, v=22.05, t=62.60
Info: 0.00:85.22, v=22.05, t=62.80
Info: 0.00:80.81, v=22.05, t=63.00
Info: 0.00:76.40, v=22.05, t=63.20
Info: 0.00:71.99, v=22.05, t=63.40
Info: 0.00:67.58, v=22.05, t=63.60
Info: 0.00:63.17, v=22.05, t=63.80
Info: 0.00:58.76, v=22.05, t=64.00
Info: 0.00:54.35, v=22.05, t=64.20
Info: 0.00:49.94, v=22.05, t=64.40
Info: 0.00:45.53, v=22.05, t=64.60
Info: 0.00:41.12, v=22.05, t=64.80
Info: 0.00:36.70, v=22.05, t=65.00
